2_46		triangle	['traɪæŋgl]		[ˈtraɪæŋɡl]	[ˈtraɪæŋɡl]	[ˈtraɪæŋɡl]
2_47		T-shirt	['tiːʃɜːt]		['tiːʃɜːt]	['tiːʃɜːrt]	BrE ['tiːʃɜːt] NAmE ['tiːʃɜːrt]
2_48		tuxedo	[tʌk'siːdəu]		[tʌkˈsiːdəʊ]	[tʌkˈsiːdoʊ]	BrE [tʌkˈsiːdəʊ] NAmE [tʌkˈsiːdoʊ]
2_49		umbrella	[ʌm'Br.lə]		[ʌmˈbrelə]	[ʌmˈbrelə]	[ʌmˈbrelə]
2_50		underpants	['ʌndəpænts]		[ˈʌndəpænts]	[ˈʌndərpænts]	BrE [ˈʌndəpænts] NAmE [ˈʌndərpænts]
2_51		undershirt	['ʌndəʃɜːt]		[ˈʌndəʃɜːt]	[ˈʌndərʃɜːrt]	BrE [ˈʌndəʃɜːt] NAmE [ˈʌndərʃɜːrt]
2_52		vest	[vest]		[vest]	[vest]	[vest]
2_53		rainboots	[reɪn buːts]		[reɪn buːts]	[reɪn buːts]	[reɪn buːts]
2_54		raincoat	['reɪnkəut]		[ˈreɪnkəʊt]	[ˈreɪnkoʊt]	BrE [ˈreɪnkəʊt] NAmE [ˈreɪnkoʊt]
3_1		basketball	['bɑːskɪtbɔːl]		[ˈbɑːskɪtbɔːl]	[ˈbæskɪtbɔːl]	BrE [ˈbɑːskɪtbɔːl] NAmE [ˈbæskɪtbɔːl]
3_2		boxing	['bɔksɪŋ]		[ˈbɒksɪŋ]	[ˈbɑːksɪŋ]	BrE [ˈbɒksɪŋ] NAmE [ˈbɑːksɪŋ]
3_3		wrestling	['reslɪŋ]		[ˈreslɪŋ]	[ˈreslɪŋ]	[ˈreslɪŋ]
3_4		yoga	['jəugə]		[ˈjəʊɡə]	[ˈjoʊɡə]	BrE [ˈjəʊɡə] NAmE [ˈjoʊɡə]
3_5		archery	['ɑːʧərɪ]		[ˈɑːtʃəri]	[ˈɑːrtʃəri]	BrE [ˈɑːtʃəri] NAmE [ˈɑːrtʃəri]
3_6		baseball	['beɪsbɔːl]		[ˈbeɪsbɔːl]	[ˈbeɪsbɔːl]	[ˈbeɪsbɔːl]
3_7		soccer	['sɔkə]		[ˈsɒkə(r)]	[ˈsɑːkər]	BrE [ˈsɒkə(r)] NAmE [ˈsɑːkər]
3_8		tennis	['tenɪs]		[ˈtenɪs]	[ˈtenɪs]	[ˈtenɪs]
3_9		volleyball	['vɔlɪbɔːl]		[ˈvɒlibɔːl]	[ˈvɑːlibɔːl],[ˈvɔːlibɔːl]	BrE [ˈvɒlibɔːl] NAmE [ˈvɑːlibɔːl],[ˈvɔːlibɔːl]
3_10		skiing	['skiːɪŋ]		[ˈskiːɪŋ]	[ˈskiːɪŋ]	[ˈskiːɪŋ]
3_11		snowboarding	['snəubɔːdɪŋ]		[ˈsnəʊbɔːdɪŋ]	[ˈsnoʊbɔːrdɪŋ]	BrE [ˈsnəʊbɔːdɪŋ] NAmE [ˈsnoʊbɔːrdɪŋ]
3_12		camel	['kæm(ə)l]		[ˈkæml]	[ˈkæml]	[ˈkæml]
3_13		coyote	['kɔɪəut]		[kaɪˈəʊti],[kɔɪˈəʊti]	[kaɪˈoʊti],[ˈkaɪoʊt]	BrE [kaɪˈəʊti],[kɔɪˈəʊti] NAmE [kaɪˈoʊti],[ˈkaɪoʊt]
3_14		lizard	['lɪzəd]		[ˈlɪzəd]	[ˈlɪzərd]	BrE [ˈlɪzəd] NAmE [ˈlɪzərd]
3_15		mountain lion	[ˈmaʊntɪn ˈlaɪən]		[ˈmaʊntɪn ˈlaɪən]	[ˈmaʊntən ˈlaɪən]	BrE [ˈmaʊntɪn ˈlaɪən] NAmE [ˈmaʊntən ˈlaɪən]
3_16		scorpion	['skɔːpɪən]		[ˈskɔːpiən]	[ˈskɔːrpiən]	BrE [ˈskɔːpiən] NAmE [ˈskɔːrpiən]
3_17		flamingo	[flə'mɪŋgəu]		[fləˈmɪŋɡəʊ]	[fləˈmɪŋɡoʊ]	BrE [fləˈmɪŋɡəʊ] NAmE [fləˈmɪŋɡoʊ]
3_18		hummingbird	['hʌmɪŋbɜːd]		[ˈhʌmɪŋbɜːd]	[ˈhʌmɪŋbɜːrd]	BrE [ˈhʌmɪŋbɜːd] NAmE [ˈhʌmɪŋbɜːrd]
3_19		panther	['pænθə]		[ˈpænθə(r)]	[ˈpænθər]	BrE [ˈpænθə(r)] NAmE [ˈpænθər]
3_20		parrot	['pærət]		[ˈpærət]	[ˈpærət]	[ˈpærət]
3_21		giraffe	[ʤɪ'rɑːf]		[dʒəˈrɑːf]	[dʒəˈræf]	BrE [dʒəˈrɑːf] NAmE [dʒəˈræf]
3_22		hippopotamus	[ˌhɪpə'pɔtəməs]		[ˌhɪpəˈpɒtəməs]	[ˌhɪpəˈpɑːtəməs]	BrE [ˌhɪpəˈpɒtəməs] NAmE [ˌhɪpəˈpɑːtəməs]
3_23		hyena	[haɪ'iːnə]		[haɪˈiːnə]	[haɪˈiːnə]	[haɪˈiːnə]
3_24		ostrich	['ɔstrɪʧ]		[ˈɒstrɪtʃ]	[ˈɑːstrɪtʃ],[ˈɔːstrɪtʃ]	BrE [ˈɒstrɪtʃ] NAmE [ˈɑːstrɪtʃ],[ˈɔːstrɪtʃ]
3_25		rhinoceros	[raɪ'nɔs(ə)rəs]		[raɪˈnɒsərəs]	[raɪˈnɑːsərəs]	BrE [raɪˈnɒsərəs] NAmE [raɪˈnɑːsərəs]
3_26		otter	['ɔtə]		[ˈɒtə(r)]	[ˈɑːtər]	BrE [ˈɒtə(r)] NAmE [ˈɑːtər]
3_27		penguin	['peŋgwɪn]		[ˈpeŋɡwɪn]	[ˈpeŋɡwɪn]	[ˈpeŋɡwɪn]
3_28		polar bear	[ˈpəʊlə bɛə]		[ˈpəʊlə beə]	[ˈpoʊlər bɛr]	BrE [ˈpəʊlə beə] NAmE [ˈpoʊlər bɛr]
3_29		reindeer	['reɪndɪə]		[ˈreɪndɪə(r)]	[ˈreɪndɪr]	BrE [ˈreɪndɪə(r)] NAmE [ˈreɪndɪr]
3_30		seal	[siːl]		[siːl]	[siːl]	[siːl]
3_31		wolf	[wulf]		[wʊlf]	[wʊlf]	[wʊlf]
3_32		blowfish	[ˈbləʊfɪʃ]		[ˈbləʊfɪʃ]	[ˈbloʊfɪʃ]	BrE [ˈbləʊfɪʃ] NAmE [ˈbloʊfɪʃ]
3_33		octopus	['ɔktəpəs]		[ˈɒktəpəs]	[ˈɑːktəpəs]	BrE [ˈɒktəpəs] NAmE [ˈɑːktəpəs]
3_34		sea urchin	['siːˌɜːʧɪn]		[siː ˈɜːʧɪn]	[si ˈɜrʧən]	BrE [siː ˈɜːʧɪn] NAmE [si ˈɜrʧən]
3_35		seagull	['siːgʌl]		[ˈsiːɡʌl]	[ˈsiːɡʌl]	[ˈsiːɡʌl]
3_36		shark	[ʃɑːk]		[ʃɑːk]	[ʃɑːrk]	BrE [ʃɑːk] NAmE [ʃɑːrk]
